Iteration	Posterior	Likelihood	Prior	alpha	beta	diversification	extinction	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	root	speciation	turnover
0	-13307.2	-13127	-180.186	0.235292	0.235292	0.0435427	0.168618	0.00149569	0.0562934	0.469426	3.47279	18.5059	0.349188	0.371282	0.0611648	0.218365	98.9985	0.212161	0.168618
10	-13301	-13121.5	-179.571	0.245309	0.245309	0.0435427	0.138576	0.0019003	0.0633239	0.491488	3.44329	19.1631	0.349275	0.371374	0.0609325	0.218419	99.8579	0.182119	0.138576
20	-13304.2	-13124.1	-180.077	0.243358	0.243358	0.050084	0.0503474	0.00181651	0.0619367	0.487267	3.44898	19.6062	0.35218	0.371096	0.0617099	0.215014	99.9285	0.100431	0.0503474
30	-13306.7	-13127.8	-178.941	0.254881	0.254881	0.0399125	0.129609	0.00234707	0.0702367	0.511666	3.41575	17.2847	0.351025	0.369878	0.0614329	0.217663	99.9285	0.169522	0.129609
40	-13301	-13122.1	-178.98	0.238787	0.238787	0.0509111	0.0710081	0.00162974	0.0587206	0.477236	3.46241	17.5342	0.351525	0.364814	0.0620561	0.221605	99.6315	0.121919	0.0710081
50	-13299.4	-13120.3	-179.094	0.250469	0.250469	0.0580166	0.0892315	0.0021337	0.0670291	0.502474	3.42836	18.5755	0.365751	0.346508	0.0610902	0.226651	99.6315	0.147248	0.0892315
60	-13297.8	-13120	-177.783	0.248876	0.248876	0.058185	0.0440379	0.00205979	0.0658795	0.499109	3.43295	17.5232	0.358527	0.359054	0.0602445	0.222174	97.0482	0.102223	0.0440379
70	-13299.4	-13121.8	-177.561	0.262857	0.262857	0.0574003	0.0408243	0.00276587	0.0761193	0.527826	3.39329	17.2356	0.353275	0.357458	0.0640835	0.225183	97.0419	0.0982246	0.0408243
80	-13293.8	-13117.3	-176.506	0.259596	0.259596	0.0429005	0.12154	0.00258946	0.0737021	0.52129	3.40242	16.7237	0.350596	0.366336	0.0606105	0.222458	99.8633	0.16444	0.12154
90	-13298.6	-13121.7	-176.876	0.260712	0.260712	0.0508671	0.107341	0.00264905	0.0745279	0.523538	3.39928	16.1924	0.347484	0.37221	0.0598224	0.220483	98.8086	0.158208	0.107341
100	-13296.6	-13118.6	-177.994	0.241308	0.241308	0.0468467	0.0569853	0.00173111	0.0604884	0.482793	3.45499	18.6715	0.370231	0.357333	0.060766	0.21167	99.1391	0.103832	0.0569853
110	-13301.6	-13125.9	-175.621	0.272006	0.272006	0.0413478	0.10486	0.00329967	0.0829808	0.545655	3.36806	17.0759	0.361141	0.357766	0.060965	0.220129	95.7422	0.146208	0.10486
120	-13305.4	-13128.5	-176.833	0.263643	0.263643	0.0393309	0.0794716	0.00280951	0.0767048	0.529388	3.3911	16.1652	0.355069	0.371557	0.0617847	0.211589	93.6885	0.118803	0.0794716
