Iteration	Posterior	Likelihood	Prior	alpha	beta	diversification	extinction	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	root	speciation	turnover
0	-743.729	0	-743.729	2.55253	2.55253	3.93816	4.81864	0.351381	0.703299	1.0792	1.86612	1.33652	0.11849	0.0552457	0.236581	0.589683	86.7112	8.7568	4.81864
10	-493.074	0	-493.074	2.22476	2.22476	2.52734	2.88015	0.318705	0.676967	1.07472	1.92961	1.59819	0.084964	0.0209717	0.12822	0.765844	85.5278	5.40749	2.88015
20	-231.085	0	-231.085	1.17222	1.17222	0.959184	3.7709	0.169983	0.523032	1.02356	2.28343	0.616427	0.0802751	0.00832499	0.462284	0.449116	85.1594	4.73008	3.7709
30	-115.272	0	-115.272	1.7986	1.7986	0.177837	3.99106	0.267988	0.631733	1.06402	2.03625	0.369959	0.547916	0.370723	0.0497153	0.0316462	84.0376	4.1689	3.99106
40	-135.184	0	-135.184	1.717	1.717	0.109491	3.9564	0.256984	0.621098	1.06098	2.06094	0.274394	0.0121282	0.826919	0.137544	0.0234088	83.7473	4.06589	3.9564
50	-133.314	0	-133.314	2.28048	2.28048	0.0219947	3.21942	0.324604	0.68187	1.07565	1.91788	0.16324	0.00442895	0.962174	0.0314335	0.00196347	82.5007	3.24141	3.21942
60	-129.533	0	-129.533	20.4326	20.4326	0.0366683	3.1381	0.734471	0.914898	1.05722	1.29341	0.169268	0.266531	0.140228	0.506804	0.0864367	80.9509	3.17477	3.1381
70	-133.637	0	-133.637	47.2153	47.2153	0.0366683	2.60236	0.821552	0.946895	1.04102	1.19054	0.225767	0.0711245	0.00215951	0.922064	0.004652	81.0525	2.63902	2.60236
80	-146.07	0	-146.07	17.7624	17.7624	0.05363	3.157	0.716566	0.907756	1.06018	1.31549	0.0833866	0.841837	0.000875522	0.154512	0.00277514	81.2085	3.21063	3.157
90	-134.681	0	-134.681	8.46402	8.46402	0.05363	4.30758	0.603054	0.857406	1.0756	1.46394	0.0727956	0.229147	0.0755469	0.477894	0.217412	81.2758	4.36121	4.30758
100	-130.165	0	-130.165	14.4168	14.4168	0.05363	3.61094	0.687881	0.895882	1.06465	1.35158	0.160827	0.102496	0.0140319	0.877461	0.00601103	81.6341	3.66457	3.61094
