Iteration	Posterior	Likelihood	Prior	alpha	beta	diversification	extinction	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	root	speciation	turnover
0	-13302	-13125	-176.956	0.238046	0.238046	0.0511452	0.209276	0.00160069	0.0582036	0.47559	3.46461	16.2646	0.355765	0.366582	0.0616404	0.216012	96.1022	0.260421	0.209276
10	-13300.6	-13125.8	-174.746	0.27328	0.27328	0.0529807	0.134465	0.0033786	0.0839449	0.54808	3.3646	14.4394	0.33963	0.367119	0.0649496	0.228301	95.1205	0.187446	0.134465
20	-13304.7	-13128.6	-176.038	0.255037	0.255037	0.0382035	0.112413	0.00235485	0.0703506	0.511987	3.41531	16.2021	0.347952	0.376115	0.0603476	0.215585	98.0722	0.150617	0.112413
30	-13302.2	-13125.3	-176.878	0.268635	0.268635	0.0467558	0.212575	0.00309627	0.0804398	0.539172	3.37729	16.8439	0.361468	0.361595	0.0657492	0.211187	96.3549	0.259331	0.212575
40	-13295.3	-13117.7	-177.668	0.246034	0.246034	0.0411652	0.143702	0.00193205	0.0638412	0.493047	3.44118	18.4299	0.358085	0.366104	0.0601363	0.215675	98.2088	0.184867	0.143702
50	-13302.5	-13126.7	-175.745	0.250538	0.250538	0.0379724	0.152816	0.00213695	0.0670791	0.50262	3.42816	17.6158	0.361855	0.354349	0.0658507	0.217945	96.1478	0.190789	0.152816
60	-13303.8	-13124.2	-179.628	0.257395	0.257395	0.0740424	0.118908	0.00247446	0.0720799	0.516823	3.40862	16.8573	0.370224	0.343827	0.0638954	0.222054	94.8179	0.192951	0.118908
70	-13302.5	-13127.2	-175.323	0.267772	0.267772	0.0538117	0.079746	0.00304547	0.0797917	0.537496	3.37967	16.7634	0.365113	0.353954	0.0679258	0.213006	90.1759	0.133558	0.079746
80	-13308.6	-13130.6	-177.989	0.250449	0.250449	0.0704343	0.0796361	0.00213275	0.0670144	0.502432	3.42842	16.506	0.357471	0.350016	0.0607087	0.231805	84.8047	0.15007	0.0796361
90	-13302.1	-13125.4	-176.729	0.272256	0.272256	0.0466601	0.0855842	0.00331508	0.08317	0.546132	3.36738	16.4768	0.347606	0.368853	0.0581323	0.225408	98.6781	0.132244	0.0855842
100	-13294.8	-13119.2	-175.552	0.255373	0.255373	0.0529855	0.0783656	0.00237167	0.0705965	0.51268	3.41435	16.7138	0.345655	0.366784	0.0634176	0.224143	95.6964	0.131351	0.0783656
110	-13308.4	-13130.8	-177.606	0.23811	0.23811	0.0355672	0.093601	0.00160315	0.0582475	0.475731	3.46442	19.728	0.362677	0.356538	0.0629023	0.217882	92.904	0.129168	0.093601
120	-13300.7	-13123.2	-177.505	0.253733	0.253733	0.0537903	0.183265	0.00229032	0.0693988	0.509292	3.41902	15.6492	0.360171	0.359907	0.0634608	0.216462	99.4679	0.237056	0.183265
130	-13298	-13122.8	-175.227	0.269249	0.269249	0.0544906	0.15	0.00313276	0.080902	0.540361	3.3756	16.2991	0.360696	0.364217	0.0583103	0.216777	92.6703	0.204491	0.15
140	-13301.7	-13126.5	-175.184	0.244998	0.244998	0.0446308	0.0688601	0.00188679	0.0631023	0.490818	3.44419	15.5214	0.344472	0.366463	0.058422	0.230643	92.2183	0.113491	0.0688601
150	-13305.4	-13129.9	-175.488	0.272914	0.272914	0.0409788	0.103884	0.0033558	0.0836676	0.547385	3.36559	15.3671	0.348363	0.365926	0.0554056	0.230305	93.3569	0.144862	0.103884
