Iteration	Posterior	Likelihood	Prior	alpha	beta	diversification	extinction	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	root	speciation	turnover
0	-814.729	0	-814.729	3.742	3.742	4.41843	6.22921	0.439602	0.765786	1.08434	1.71027	2.85234	0.0478268	0.399541	0.258775	0.293857	85.1487	10.6476	6.22921
10	-476.03	0	-476.03	9.68667	9.68667	2.48329	6.42894	0.62618	0.868425	1.07298	1.43242	0.638344	0.171735	0.116149	0.469197	0.242919	85.238	8.91223	6.42894
20	-277.803	0	-277.803	15.4502	15.4502	1.27907	5.7612	0.697669	0.899995	1.06317	1.33917	0.639968	0.0357577	0.0310448	0.834273	0.0989242	83.3589	7.04027	5.7612
30	-101.974	0	-101.974	9.00092	9.00092	0.0919079	6.76523	0.613736	0.862547	1.07442	1.44929	1.48133	0.0303442	0.020346	0.853542	0.0957678	82.6842	6.85714	6.76523
40	-96.3117	0	-96.3117	0.908587	0.908587	0.0563016	8.10372	0.118373	0.447439	0.983032	2.45116	2.43742	0.0186298	0.0219525	0.477842	0.481576	80.9756	8.16002	8.10372
50	-100.878	0	-100.878	0.896122	0.896122	0.0563016	7.91032	0.11579	0.443137	0.980403	2.46067	0.938752	0.00753333	0.0165535	0.906794	0.0691196	80.1306	7.96662	7.91032
60	-99.1994	0	-99.1994	0.982013	0.982013	0.0332582	8.0553	0.133351	0.471278	0.996955	2.39842	0.743324	0.00666203	0.0482115	0.660103	0.285023	79.361	8.08856	8.0553
70	-105.913	0	-105.913	0.994658	0.994658	0.0332582	8.34385	0.135887	0.47514	0.999109	2.38986	1.62775	0.441528	0.378912	0.0707672	0.108793	78.2034	8.37711	8.34385
80	-111.827	0	-111.827	0.488881	0.488881	0.0587884	8.71998	0.0313459	0.244595	0.812007	2.91205	7.03184	0.267917	0.59273	0.13602	0.00333283	78.6862	8.77877	8.71998
90	-116.602	0	-116.602	0.69955	0.69955	0.0266987	7.57047	0.0740921	0.363318	0.924701	2.63789	16.9024	0.176082	0.0208206	0.802947	0.000150849	79.1287	7.59717	7.57047
100	-129.45	0	-129.45	44.243	44.243	0.0310631	6.43794	0.815895	0.944948	1.04215	1.197	2.08957	0.726749	0.00166521	0.27128	0.000306065	78.9375	6.469	6.43794
110	-130.829	0	-130.829	20.5714	20.5714	0.0706306	6.07314	0.73531	0.915228	1.05708	1.29239	7.46363	0.821766	0.000640313	0.176742	0.000852105	77.4888	6.14378	6.07314
120	-120.125	0	-120.125	25.5549	25.5549	0.0446434	6.05945	0.760948	0.925096	1.05259	1.26136	2.30358	0.124682	0.00018035	0.639931	0.235207	76.8536	6.10409	6.05945
130	-128.19	0	-128.19	36.1082	36.1082	0.0446434	6.31649	0.797105	0.938353	1.04585	1.2187	1.57133	0.458668	4.30191e-05	0.355266	0.186023	77.0772	6.36114	6.31649
140	-130.75	0	-130.75	67.5952	67.5952	0.025148	6.45739	0.849907	0.956397	1.03515	1.15854	3.10068	0.328667	0.000253127	0.138266	0.532814	76.4748	6.48254	6.45739
150	-132.17	0	-132.17	34.3469	34.3469	0.0291208	4.88259	0.792211	0.936602	1.04679	1.2244	0.700179	0.405295	0.00051403	0.524089	0.0701022	76.9493	4.91171	4.88259
160	-130.877	0	-130.877	51.3633	51.3633	0.0291208	4.14866	0.828632	0.949309	1.03958	1.18248	0.167612	0.950648	1.1524e-05	0.047163	0.00217747	77.2107	4.17778	4.14866
170	-136.902	0	-136.902	15.4482	15.4482	0.0827065	3.08605	0.697651	0.899987	1.06317	1.33919	0.801638	0.980285	2.53432e-05	0.019486	0.000203856	77.2607	3.16876	3.08605
180	-132.681	0	-132.681	11.6994	11.6994	0.0827065	2.39108	0.656658	0.882328	1.06909	1.39192	0.703639	0.316442	0.000455172	0.682794	0.000308276	78.4369	2.47378	2.39108
190	-118.766	0	-118.766	0.36824	0.36824	0.0578131	4.09084	0.0124117	0.157664	0.694491	3.13543	0.428405	0.380562	0.00252663	0.614607	0.0023044	77.505	4.14865	4.09084
200	-122.966	0	-122.966	1.42784	1.42784	0.0832717	4.59245	0.213956	0.576087	1.04589	2.16407	0.43869	0.00332917	0.684983	0.308166	0.00352155	79.8298	4.67572	4.59245
210	-124.813	0	-124.813	1.99104	1.99104	0.0832717	2.90624	0.292203	0.654057	1.06976	1.98398	0.391501	0.00074792	0.696883	0.297675	0.00469438	81.4697	2.98951	2.90624
220	-126.662	0	-126.662	4.06442	4.06442	0.0104919	3.57035	0.457866	0.777408	1.08439	1.68034	0.258079	0.0158018	0.442491	0.540835	0.00087264	80.4044	3.58084	3.57035
230	-126.49	0	-126.49	4.25113	4.25113	0.0353796	4.32486	0.467648	0.783469	1.08429	1.6646	1.11774	0.0441076	0.805753	0.14509	0.00504866	81.7466	4.36024	4.32486
240	-118.842	0	-118.842	25.6604	25.6604	0.0294387	3.23274	0.761412	0.925271	1.05251	1.26081	0.636381	0.84252	0.0541255	0.0954882	0.00786675	81.3864	3.26218	3.23274
250	-118.242	0	-118.242	12.7909	12.7909	0.0312591	4.73328	0.670307	0.888337	1.06721	1.37415	0.460741	0.0843324	0.0222217	0.838239	0.0552063	82.9773	4.76454	4.73328
260	-134.969	0	-134.969	8.80653	8.80653	0.0312591	5.5291	0.609971	0.860745	1.07485	1.45444	0.294809	0.143923	0.0160889	0.412999	0.426989	81.9026	5.56036	5.5291
